lib32-libmodplug 0.8.9.0-5
lib32-libnghttp2 1.68.0-1
lib32-libnghttp3 1.12.0-1
lib32-libnl 3.11.0-1
lib32-libnm 1.54.1-1
lib32-libnsl 2.0.1-1
lib32-libogg 1.3.6-1
lib32-libpcap 1.10.5-3
lib32-libpciaccess 0.18.1-1
lib32-libpipewire 1:1.4.9-1
lib32-libpng 1.6.50-1
lib32-libproxy 0.5.11-1
lib32-libpsl 0.21.5-1
lib32-libpulse 17.0+r88+geee0e8f22-1
lib32-librsvg 2:2.61.3-1
lib32-libsm 1.2.4-2
lib32-libsndfile 1.2.2-3
lib32-libsoup 2.74.3-4
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.20.0-1
lib32-libthai 0.1.29-3
lib32-libtheora 1.2.0-1
lib32-libtiff 4.7.1-1
lib32-libtirpc 1.3.7-1
lib32-libunistring 1.3-1
lib32-libunwind 1.8.1-1
lib32-libusb 1.0.29-1
lib32-libva 2.22.0-1
lib32-libvdpau 1.5-3
lib32-libvorbis 1.3.7-4
lib32-libvpx 1.15.2-1
lib32-libwebp 1.6.0-1
lib32-libx11 1.8.12-2
lib32-libxau 1.0.11-2
lib32-libxcb 1.17.0-1
lib32-libxcomposite 0.4.6-2
lib32-libxcrypt 4.5.0-1
lib32-libxcrypt-compat 4.5.0-1
lib32-libxcursor 1.2.3-1
lib32-libxdamage 1.1.6-2
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.6-1
lib32-libxfixes 6.0.1-2
lib32-libxft 2.3.8-2
lib32-libxi 1.8.2-1
lib32-libxinerama 1.1.5-2
lib32-libxkbcommon 1.12.3-1
lib32-libxml2 2.15.1-1
lib32-libxmu 1.2.1-1
lib32-libxrandr 1.5.4-1
lib32-libxrender 0.9.11-2
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.4-2
lib32-libxt 1.3.1-1
lib32-libxtst 1.2.5-2
lib32-libxv 1.0.12-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:21.1.5-1
lib32-lm_sensors 1:3.6.2-2
lib32-lzo 2.10-2
lib32-mangohud 0.8.1-1
lib32-mesa 1:25.2.6-2
lib32-mpg123 1.33.3-1
lib32-ncurses 6.5-2
lib32-nettle 3.10.2-1
lib32-nspr 4.37-1
lib32-nss 3.117-1
lib32-nvidia-utils 580.105.08-1.1
lib32-ocl-icd 2.3.3-1
lib32-openal 1.24.3-1
lib32-opencl-nvidia 580.105.08-1.1
lib32-openssl 1:3.6.0-1
lib32-opus 1.5.2-1
lib32-orc 0.4.41-1
lib32-p11-kit 0.25.10-2
lib32-pam 1.7.1-1
lib32-pango 1:1.57.0-2
lib32-pcre2 10.47-1
lib32-pipewire 1:1.4.9-1
lib32-pixman 0.46.4-1
lib32-sdl2-compat 2.32.58-1
lib32-sdl2_image 2.8.4-1
lib32-sdl2_mixer 2.8.0-1
lib32-sdl2_ttf 2.24.0-2
lib32-sdl3 3.2.26-1
lib32-speex 1.2.1-2
lib32-spirv-tools 1:1.4.328.1-1
lib32-sqlite 3.50.4-1
lib32-systemd 258.1-1
lib32-tdb 1.4.13-1
lib32-util-linux 2.41.2-1
lib32-vulkan-icd-loader 1.4.328.1-1
lib32-wayland 1.24.0-1
lib32-xz 5.8.1-1
lib32-zlib-ng 2.2.4-1
lib32-zlib-ng-compat 2.2.4-1
lib32-zstd 1.5.7-2
libabw 0.1.3-5.1
libaccounts-glib 1.27-3.1
libaccounts-qt 1.17-1.1
libadwaita 1:1.8.1-1.1
libaio 0.3.113-3.1
libappimage 1.0.4.5-11.1
libarchive 3.8.2-1.1
libass 0.17.4-1.1
libassuan 3.0.0-1.1
libasyncns 1:0.8+r3+g68cd5af-3.2
libatasmart 0.19-7.1
libatomic_ops 7.8.2-1.1
libavc1394 0.5.4-7.1
libavif 1.3.0-3.1
libavtp 0.2.0-3.1
libayatana-appindicator 0.5.94-1.1
libayatana-indicator 0.9.4-1.1
libb2 0.98.1-3.1
libblockdev 3.4.0-1.1
libblockdev-crypto 3.4.0-1.1
libblockdev-fs 3.4.0-1.1
libblockdev-loop 3.4.0-1.1
libblockdev-mdraid 3.4.0-1.1
libblockdev-nvme 3.4.0-1.1
libblockdev-part 3.4.0-1.1
libblockdev-swap 3.4.0-1.1
libbluray 1.4.0-2.1
libbpf 1.5.1-1.1
libbs2b 3.1.0-9.2
libbsd 0.12.2-2.1
libbytesize 2.11-1.1
libcaca 0.99.beta20-5.1
libcanberra 1:0.30+r2+gc0620e4-6.1
libcap 2.77-1.1
libcap-ng 0.8.5-3.1
libcbor 0.12.0-1.2
libcddb 1.3.2-7.1
libcdio 2.2.0-1.1
libcdio-paranoia 10.2+2.0.2-1.2
libcdr 0.1.8-2.1
libcloudproviders 0.3.6-2.1
libcmis 0.6.2-6.1
libcolord 1.4.8-1
libcups 2:2.4.14-1
libcupsfilters 2.1.1-2.2
libcurl-gnutls 8.17.0-1.1
libdaemon 0.14-6.1
libdatachannel 0.23.2-2.1
libdatrie 0.2.13-4.1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdc1394 2.2.7-1.1
libdca 0.0.7-2.1
libde265 1.0.16-2.1
libdecor 0.2.4-1.1
libdeflate 1.24-1.1
libdisplay-info 0.3.0-1.1
libdmtx 0.7.8-1.1
libdovi 3.3.2-1.1
libdrm 2.4.128-1.1
libdv 1.0.0-11.1
libdvbpsi 1:1.3.3-3
libdvdcss 1.5.0-1.1
libdvdnav 7.0.0-1.1
libdvdread 7.0.0-1.1
libe-book 0.1.3-18.1
libebml 1.4.5-1.1
libebur128 1.2.6-2.1
libedit 20250104_3.1-1.1
libei 1.5.0-1.1
libelf 0.194-1
libepoxy 1.5.10-3.1
libepubgen 0.1.1-5.1
libetonyek 0.1.13-1.1
libevdev 1.13.5-1.1
libevent 2.1.12-4.1
libexif 0.6.25-1.1
libexttextcat 3.4.7-1.1
libfakekey 0.3-4.1
libfdk-aac 2.0.3-1.1
libffi 3.5.2-1.1
libfontenc 1.1.8-1.1
libfreeaptx 0.2.2-1.1
libfreehand 0.1.2-5.1
libftdi 1.5-7.1
libfyaml 0.9-1.1
libgcrypt 1.11.2-1.1
libgedit-amtk 5.9.1-1.2
libgedit-gfls 1:0.3.0-1.1
libgedit-gtksourceview 299.5.0-2.1
libgedit-tepl 6.13.0-1.1
libgexiv2 0.14.6-1.2
libgirepository 1.86.0-1.1
libgit2 1:1.9.1-1.1
libglvnd 1.7.0-3.1
libgme 0.6.4-1.1
libgoom2 2k4-5
libgpg-error 1.56-1.1
libgsf 1.14.53-2.1
libgudev 238-3.1
libhandy 1.8.3-2.1
libheif 1.20.2-3.1
libibus 1.5.32-1.1
libice 1.1.2-1.1
libidn 1.43-1.1
libidn2 2.3.7-1.1
libiec61883 1.2.0-9.1
libimagequant 4.4.0-1
libimobiledevice 1.4.0-1.1
libimobiledevice-glue 1.3.2-1.1
libinih 61-1.1
libinput 1.29.2-1.1
libinstpatch 1.1.7-2.1
libisl 0.27-1.1
libixion 0.20.0-3.1
libjcat 0.2.5-1.1
libjpeg-turbo 3.1.2-1.1
libjuice 1.6.2-1.1
libjxl 0.11.1-5.1
libkate 0.4.3-1.1
libkdcraw 25.08.3-1
libkexiv2 25.08.3-1.1
libksba 1.6.7-2.1
libkscreen 6.5.2-1
libksysguard 6.5.2-1
liblangtag 0.6.8-1.1
liblc3 1.1.3-1.1
libldac 2.0.2.3-2.1
libldap 2.6.10-2
liblqr 0.4.3-1.1
liblrdf 0.6.1-5.1
libltc 1.3.2-2.1
libluv 1.51.0-1.1
libmad 0.15.1b-10.1
libmalcontent 0.13.1-1.1
libmanette 0.2.13-1.1
libmatroska 1.7.1-2.1
libmaxminddb 1.12.2-2.2
libmbim 1.32.0-1.1
libmd 1.1.0-2.1
libmfx 23.2.2-5
libmicrodns 0.2.0-2.1
libmm-glib 1.24.2-1.1
libmng 2.0.3-4.1
libmnl 1.0.5-2.1
libmodplug 0.8.9.0-6.1
libmpc 1.3.1-2.1
libmpcdec 1:0.1+r475-6
libmpeg2 0.5.1-11.1
libmspack 1:1.11-1.2
libmspub 0.1.4-17.1
libmtp 1.1.22-1.1
libmwaw 0.3.22-3.1
libmypaint 1.6.1-2.1
libmysofa 1.3.3-1.1
libndp 1.9-1.2
libnet 2:1.3-1.2
libnetfilter_conntrack 1.0.9-2.1
libnewt 0.52.25-1.1
libnfnetlink 1.0.2-2.1
libnfs 6.0.2-5.2
libnftnl 1.3.0-1.1
libnghttp2 1.68.0-1.1
libnghttp3 1.12.0-1.1
libngtcp2 1.17.0-1.1
libnice 0.1.22-2.1
libnl 3.11.0-1.1
libnm 1.54.1-1
libnma-common 1.10.6-3.1
libnma-gtk4 1.10.6-3.1
libnotify 0.8.7-1.1
libnsl 2.0.1-1.1
libnss_nis 3.4-1.1
libnumbertext 1.0.11-2.1
libnvme 1.16-2.1
libodfgen 0.1.8-5.1
libogg 1.3.6-1.1
liboggz 1.1.3-1.1
libopenmpt 0.8.3-1.1
libopenraw 0.3.7-2.1
liborcus 0.21.0-2.1
libp11-kit 0.25.10-2.1
libpagemaker 0.0.4-4.2
libpaper 2.2.6-1.1
libpcap 1.10.5-3.1
libpciaccess 0.18.1-2.1
libpeas 1.36.0-7.1
libpgm 5.3.128-3.1
libpipeline 1.5.8-1.1
libpipewire 1:1.4.9-1.1
libplacebo 7.351.0-3.1
libplasma 6.5.2-1
libplist 2.7.0-1.1
libpng 1.6.50-1.1
libppd 2.1.1-1.1
libproxy 0.5.11-1.1
libpsl 0.21.5-2.1
libpulse 17.0+r88+geee0e8f22-1.1
libqaccessibilityclient-qt6 0.6.0-1
libqalculate 5.8.1-1.1
libqmi 1.36.0-1.1
libqrtr-glib 1.2.2-4.1
libqxp 0.0.2-13.1
libraqm 0.10.3-1.1
libraw 0.21.4-1.1
libraw1394 2.1.2-4.1
libreoffice-still 25.2.7-1.1
librevenge 0.0.5-3.2
librsvg 2:2.61.3-1.1
libsamplerate 0.2.2-3.1
libsasl 2.1.28-5.1
libseccomp 2.5.6-1.1
libsecret 0.21.7-1.1
libshout 1:2.4.6-5.1
libsigc++-3.0 3.6.0-1.2
libsixel 1.10.5-1.1
libsm 1.2.6-1.2
libsndfile 1.2.2-4.1
libsodium 1.0.20-1.1
libsoup 2.74.3-4.1
libsoup3 3.6.5-1
libsoxr 0.1.3-4.1
libspectre 0.2.12-2.1
libspiro 1:20240903-1.2
libsrtp 1:2.7.0-1.1
libssh 0.11.3-1.1
libssh2 1.11.1-1.1
libstaroffice 0.0.7-4.1
libstemmer 3.0.1-1.1
libsysprof-capture 49.0-1.1
libtasn1 4.20.0-1.1
libtatsu 1.0.5-1.1
libteam 1.32-2.1
libthai 0.1.29-3.1
libtheora 1.2.0-1.1
libtiff 4.7.1-1.1
libtiger 0.3.4-8.1
libtirpc 1.3.7-1.1
libtommath 1.3.0-1.2
libtool 2.6.0-1
libtorrent-rasterbar 1:2.0.11-5.1
libunibreak 6.1-1.2
libunistring 1.3-1.1
libunwind 1.8.2-1.1
libupnp 1.14.25-1.1
liburcu 0.15.3-1.1
liburing 2.12-1.1
libusb 1.0.29-1.1
libusb-compat 0.1.8-2.1
libusbmuxd 2.1.1-1.1
libutempter 1.2.3-1.1
libutf8proc 2.10.0-2.1
libuv 1.51.0-1
libva 2.22.0-1.1
libva-nvidia-driver 0.0.14-1.1
libvdpau 1.5-3.1
libverto 0.3.2-5.1
